TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
39.241723356,-182.891,10.4226,-6.67307,8.66471,4.30078,5.45829,0.412249,1.12838,2.05683,0.986911,-0.774048,-1.44284,-2.74573,-2.57483,0.619092,1.15841,-2.2085,-0.905101,0.813647,-1.01862,0.706287
39.264943311,-177.272,8.09105,-8.67185,6.50072,0.759783,4.27694,-0.24319,1.43021,1.59158,0.342111,-0.79089,-1.65868,-0.798236,-2.43168,-0.494283,-1.55683,-0.844001,2.18926,0.501721,-1.20061,0.743307
39.288163265,-173.894,9.58556,-6.9753,3.85031,1.18943,5.27048,-1.33707,0.201977,1.89834,-1.54828,-3.52189,-3.52309,-1.40439,-1.86291,0.583732,-0.299966,-3.3069,-1.40336,0.438367,-0.620279,-0.659061
39.311383220,-172.858,5.91751,-9.29775,3.39687,0.554188,4.30239,0.702752,1.09128,0.076824,-0.45664,-2.66832,-2.87578,-1.85385,-0.976437,-0.3132,-0.628267,-2.97434,-2.90013,0.492836,-0.0269785,-0.38139
39.334603175,-175.322,4.04703,-8.64162,3.02997,0.583623,6.38503,-0.158188,1.53979,1.47245,-0.0602161,0.65555,-0.763885,-2.15824,-0.603528,0.470392,2.04849,-0.253357,-0.528977,-2.52657,-3.45193,-2.06038
39.357823129,-172.94,6.46584,-6.88462,1.79512,-2.87326,3.30838,-1.28902,2.07095,2.83464,1.7176,-1.0561,-0.457762,-0.85679,-1.38712,1.10544,1.31095,-2.45065,-1.88585,-0.266052,-2.07286,-1.96921
39.381043084,-172.722,11.8858,-5.49035,4.27231,-0.518283,3.17282,-2.19539,1.35171,2.90243,1.40862,0.166953,-1.33965,-2.74113,-5.74269,-2.68974,0.272516,-1.01623,1.69223,1.60703,-1.74777,0.536822
39.404263039,-177.362,11.8931,-7.43785,3.52975,0.10338,0.154695,-2.19372,1.30389,1.22977,1.35109,-1.68467,-1.71601,0.620136,-0.820574,-0.734728,0.182531,-1.86662,-1.13022,-1.5442,-3.53788,-2.34179
39.427482993,-182.11,16.8113,-4.13574,5.63576,2.79873,6.77468,-1.59268,1.4823,3.12028,3.76595,2.02715,-0.495173,0.990016,2.55302,3.44206,0.841974,-1.98556,1.13951,0.0486102,-3.29081,-0.9096
39.450702948,-185.537,13.9333,-4.73614,4.30036,0.887207,5.27238,-0.740354,3.17639,4.44909,1.63336,-0.0118597,1.08838,1.55684,1.84436,2.99891,1.46344,-1.6682,-0.159537,1.06773,-1.8719,-0.258528
