TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
60.557641723,-188.749,16.079,-19.8888,12.9984,0.749831,1.8061,-2.55165,2.69459,-0.61671,5.12474,2.40628,1.62795,-3.40116,-1.11733,-3.67376,-1.10222,1.03709,-0.632826,-0.346559,0.258185,-1.18994
60.580861678,-189.242,22.187,-17.5631,16.3741,1.78413,1.26873,-4.90926,2.69022,1.82786,6.2925,4.34748,1.42072,-1.63485,-1.07525,-2.59213,1.16936,-0.0204667,-0.391469,0.41534,-1.98029,-3.27213
60.604081633,-181.75,22.5026,-20.4411,14.9008,3.31333,4.24141,-1.76515,2.85219,2.38112,5.36994,3.68465,0.144937,-1.20891,-1.48693,-1.82265,2.3007,0.92624,-2.52791,-1.91821,-0.177828,-1.90743
60.627301587,-181.459,21.3856,-20.1692,15.6507,1.61509,1.29063,-3.77615,1.82224,-0.31749,3.2062,2.24633,0.155125,-2.33678,-2.45323,-1.73601,1.2004,0.93908,-1.95924,-0.216383,1.0733,-1.05208
60.650521542,-176.761,21.7947,-20.3302,14.9463,2.1885,0.702481,-3.41498,2.00864,0.35135,4.65252,1.9798,0.0234521,-2.14914,-0.996589,-1.77806,0.711208,0.68234,-1.01401,-0.575762,-0.823605,-2.21506
60.673741497,-183.773,21.1739,-21.7195,15.0924,4.55013,4.88821,1.24772,4.54268,2.6857,3.55294,1.95693,1.15329,-2.07471,-2.11183,-2.62067,3.27948,-0.407035,-0.813891,-1.31065,-1.69318,-1.35055
60.696961451,-183.709,20.6421,-20.7257,16.8737,4.44547,2.17052,-0.541733,3.07654,1.29452,2.37624,0.364494,-2.96001,-4.25816,-1.19842,-2.76909,0.233548,-0.443402,-0.44486,0.579617,-0.960863,-1.02167
60.720181406,-182.104,21.4907,-17.11,16.3344,2.26209,2.56152,-1.40004,3.58189,2.10669,2.84706,1.61527,-0.759758,-1.95262,-1.10105,-2.45803,1.01107,0.356539,-1.37577,-1.74791,-2.56813,-0.982578
60.743401361,-182.708,21.8264,-18.8847,14.0229,-0.951156,1.15127,-2.61709,2.66066,0.648301,5.42952,5.34635,-0.386106,-2.0589,-1.50548,-1.08061,2.6073,0.722122,0.265058,1.51995,1.28933,-0.0561258
60.766621315,-183.306,23.5982,-18.5959,16.1772,2.22068,1.32219,-4.4072,2.57317,1.82946,3.3614,1.60377,-1.24484,-2.29999,-1.59537,-2.78757,-0.775274,0.430184,-2.31298,-2.98661,-0.403903,-0.673091
60.789841270,-181.984,23.2689,-17.3931,16.2638,1.70542,1.27383,-3.02584,1.58172,3.59759,5.83977,3.93305,1.95403,-1.73608,-2.87366,-3.21866,-1.03679,-0.594027,-2.41652,-3.16423,-2.15229,-0.951714
60.813061224,-167.057,22.1186,-9.40874,12.2486,3.80768,0.632584,-0.61215,-0.00393588,4.97881,5.83961,0.120022,-1.93222,-3.52385,-3.44474,-1.44483,-1.10657,0.159045,-0.577721,-0.351979,-2.50921,-2.48364
60.836281179,-166.624,21.8812,-15.4109,13.3316,0.605815,4.4396,0.641106,3.5654,4.1756,3.67367,-1.17798,0.582951,0.0313782,-0.201411,-0.269311,0.107818,-0.947769,-2.05785,-2.35054,-2.14495,-1.60882
60.859501134,-163.88,17.3286,-13.5097,14.801,1.33339,0.844277,1.04971,6.76183,4.47421,0.763411,-4.91294,-0.0548576,1.7817,-0.171486,-0.555753,0.550788,0.00546223,-0.486315,0.593936,0.555521,-0.158005
60.882721088,-158.126,15.7909,-18.1105,9.87774,0.394566,0.411602,2.20306,2.70607,-0.104949,-0.459914,-3.93476,3.31748,4.4821,2.53582,-1.40044,-3.4863,-4.03008,-2.36878,0.392253,-1.22491,-0.813998
60.905941043,-172.37,15.7077,-19.4501,11.8541,-5.36138,-0.3334,-2.12085,0.975878,-1.19304,1.19852,-2.99644,2.24455,2.21701,0.565986,-2.29254,-3.32532,-2.09354,-1.01911,0.719543,-0.997454,-1.3626
60.929160998,-185.562,18.1408,-16.4321,14.1196,1.97695,3.9635,0.362023,3.80998,-0.745655,1.05017,0.328482,0.680924,-1.10013,1.12515,-1.91159,-1.84022,-0.0536375,-0.456582,0.0936581,0.251374,-1.20323
