TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
72.353378685,1.27677,0.129926,0.132281,0.882041,2.9685,0.0289448,0.159475,1.03882,0.34187,0.00146861,1.21207,0.478834
72.399818594,1.55591,0.0620891,0.0329335,1.24239,2.62976,0.0198923,0.0683497,0.918871,0.528463,0.00155008,0.811631,0.587397
72.446258503,1.88167,0,0,1.16443,1.67272,0.0461756,0.0718328,1.3914,0.810051,0.000623891,0.656787,0.857143
72.492698413,1.93927,0.283812,0.0862576,0.995823,1.24224,0.347661,0.308132,1.95545,0.82511,0,0.389333,0.910121
72.539138322,1.46902,1.70438,0,0.0548102,0.903879,0.540214,0.715707,2.0639,0.457536,0,0,0.698423
72.585578231,1.09065,2.20799,0.0711444,0.0896471,0.320812,1.04745,0.807036,1.80985,0.246375,0.069896,0,0.147284
72.632018141,0.500699,2.24775,0.124612,0.0602154,0.232332,1.34132,0.767911,1.26064,0.289957,0.364396,0.0135016,0.163645
72.678458050,0.815127,1.61985,0.0964196,0,0.415382,1.31707,0.903598,0.60098,0.402543,0.3663,0.059918,0.228185
72.724897959,1.72999,0.29679,0.0665934,0.00482257,0.98378,1.19394,0.685602,0.814189,0.642222,0,0.0512429,0.259929
72.771337868,2.61066,0.329785,0.0373374,0.226118,1.44765,0,0.0193159,1.43297,0.56311,0,0.030392,0.132648
72.817777778,2.56714,0.109834,0.189706,0.433647,1.6006,0.0024682,0.00431252,1.87844,0.459122,0.0150461,0.0269988,0.61717
72.864217687,2.1506,0.00010259,0.0666891,0.510751,0.88644,0.229495,0.0183633,2.51504,0.235765,0.0100272,0.068179,1.6408
72.910657596,1.77958,0,0.0259644,0.551673,0.172556,0.768514,0.233879,2.47722,0.139148,0.0592184,0.0346306,1.49681
72.957097506,1.9996,0.0611435,0.572097,0.336832,0,1.625,0.309183,1.78255,0.0117819,0.553361,0.0801587,0.730197
73.003537415,2.07755,0.171275,0.589148,0.080323,0,2.20653,0.171565,0.999012,0,1.20615,0.0481815,0.558913
73.049977324,1.83592,0.245023,0.46088,0.0996569,0,2.92002,0.108894,0.665316,0,1.51275,0.410946,0.362453
73.096417234,1.78854,0.119029,0.0671314,0.207452,0,3.47169,0.10398,0.742012,0,1.52227,0.138787,0.585193
73.142857143,2.0801,0.0770668,0.0503918,0.20621,0,3.6527,0.0868473,0.652224,0,1.55814,0.0129944,0.292744
73.189297052,2.22563,0.119463,0.163691,0.0282959,0.0308045,3.54804,0.0737372,0.168394,0.188475,1.56762,0.00260818,0.206252
73.235736961,2.31809,0.075107,0.329452,0,0.115636,3.0096,0.141283,0.140129,0.253181,1.33538,0.202156,0.230102
73.282176871,2.22108,0.057836,0.441176,0.00920354,0.148427,2.56168,0.219672,0.168164,0.0218856,1.13801,0.529622,0.324833
73.328616780,1.81026,0.0459658,0.999683,0.265327,0.138874,2.15851,0.531784,0.483059,0,0.95201,0.507233,0.338506
73.375056689,1.37766,0.366892,1.30935,0.416697,0.0348344,1.47066,0.845674,0.988204,0.0559956,0.604152,0.0959561,0.343751
73.421496599,1.17861,0.671705,1.13739,0.441369,0.02221,0.67025,0.935117,1.72646,0.355804,0.457219,0.0808128,0.221225
73.467936508,0.88469,0.781037,1.16656,0.727824,0.0173105,0.213124,1.07604,2.81202,0.271612,0.395175,0.0407178,0.133629
73.514376417,0.439793,0.529062,1.46421,0.867157,0.016633,0.0673592,0.786883,3.41743,0.149783,0.0380552,0.0541244,0.287328
73.560816327,0.172752,0.00731227,1.95406,0.524815,0.0724824,0.0206132,0.115952,3.50378,0.01139,0,0.0756339,0.771476
73.607256236,0.338778,0.0657432,2.12773,0.57188,0.123833,0.000332699,0,3.53013,0,2.09869e-05,0.0291642,0.949251
73.653696145,0.282673,0.138745,2.0565,0.690366,0.132594,0.0032706,0,3.68207,0,0.00114741,0.0692734,0.93452
73.700136054,0.163666,0.1347,2.19839,0.669908,0.0225272,0.00520104,0,3.76811,0,0.000752435,0.0449648,1.09554
73.746575964,0.0944023,0.153549,2.21234,0.530711,0.00375336,0.0130816,0.158538,3.76012,0,0.0100439,0.0776336,1.17696
73.793015873,0.102625,0.177289,2.61262,0.310161,0,0.0971161,0.667325,3.39432,0.125875,0.0122917,0.0467338,1.10001
73.839455782,0.205765,0.200558,2.8065,0.181459,0,0.0208402,0.884277,3.16354,0.0356309,0.101404,0.411554,0.407249
73.885895692,0.243951,0.687174,2.3042,0.274979,0,0.13687,0.978234,2.69277,0.0128428,0.357816,0.335792,0.077304
73.932335601,0.274403,0.717975,1.54227,0.409075,0,0.850986,0.810801,1.8862,0,0.998355,0.330758,0.308267
73.978775510,0.255005,0.488553,1.48351,0.35546,0,1.20778,0.49216,1.92872,0.00146941,1.14322,0.330206,0.530405
74.025215420,0.204296,0.0544187,1.86529,0.0603468,0,1.3048,0.345828,2.20692,0.205028,0.978553,0.259078,1.02034
74.071655329,0.581985,0.275963,2.04558,0.00262463,0,0.785054,0.179332,2.04316,0.0436937,0.559694,0.138997,1.30429
74.118095238,1.02727,0.234239,1.64752,0.460261,0.0419118,0.654477,0.509274,1.85759,0.192573,0.403488,0.00193872,1.02221
74.164535147,1.53481,0.00128538,0.875258,0.487436,0.617151,0.942912,0.352118,1.50234,0.438651,0.440252,0.105948,1.05076
74.210975057,1.40922,0.0501035,0.313152,0.543707,0.809414,0.990447,0.154674,1.0793,0.609923,0.234933,0.194017,1.48694
74.257414966,1.25001,0.236336,0.154169,0.538278,1.21905,0.571851,0.0909005,0.901192,0.733592,0.177372,0.512322,1.34677
74.303854875,1.41025,0.385505,0.30881,0.772689,1.61959,0.383667,0.0796899,0.980729,0.667114,0.399427,0.568251,0.453638
74.350294785,1.60935,0.540781,0.227593,1.14705,2.22787,0.000311265,0.0836188,1.39043,0.581021,0.235135,0.523078,0.288684
74.396734694,2.34123,0.224118,0.0921165,1.24869,2.30878,0.00201103,0.081414,2.18484,0.48777,0,0.583712,0.207248
74.443174603,2.89732,0.218072,0.186471,0.29623,1.80507,0.0143333,0.0256452,2.57161,0.102989,0,0.593774,0.339776
74.489614512,2.86307,0.00173378,0.58349,0.0882022,1.72306,0.0360619,0.0300949,2.61198,0.00807135,0,0.493394,0.478288
74.536054422,2.5957,0,0.862973,0.264774,1.29981,0.114653,0.043306,2.45243,0.00617845,0.30841,0.367053,0.577152
74.582494331,1.6424,0.0223685,1.05555,0.451475,0.387347,1.26969,0.000952247,2.00291,0.0192378,0.969781,0.000308859,0.977918
74.628934240,0.841774,0.238656,1.02931,0.260515,0.331517,1.54153,0.0512285,1.9673,0.0619619,1.19895,0.000726169,1.45308
74.675374150,0.746443,0.248034,0.554183,0,0.633844,1.68764,0.304855,1.98817,0.150369,1.22344,0.00587328,1.54924
74.721814059,1.20437,0.197151,0.266528,0,0.943665,1.77705,0.462621,1.86023,0.372421,1.06361,0.0142112,1.44001
74.768253968,1.78882,0.245818,1.27228,0.0135084,0.827684,1.1924,0.302607,1.65599,0.515337,0.219845,0.443766,0.715161
74.814693878,2.60515,0.174523,1.31694,0.181953,0.390248,0.0235658,0.13973,1.64985,0.263509,0,0.652364,0.434262
74.861133787,3.00934,0.00152891,0.974851,0.39425,0.209081,0.0185378,0.0508115,1.53846,0.0109422,0,0.596857,0.382715
74.907573696,3.1807,0.0191843,0.333159,0.353812,0.934241,0.315613,0.039348,1.20642,0.178099,0.129864,0.659787,0.337098
74.954013605,3.21935,0.196851,0.036309,1.06808,1.17583,0.707975,0.145087,0.750467,0.305517,0.16529,0.603425,0.281949
75.000453515,2.99496,0.204378,0.044544,1.29726,1.06044,1.55182,0.347259,0.407429,0.116529,0.580351,0.184564,0.120299
75.046893424,2.79167,0.2267,0.257253,0.892722,0.551314,2.62305,0.36471,0.592715,0.0874514,0.9293,0.00181324,0.0246145
75.093333333,2.62423,0.189705,0.142973,0.152033,0,3.24225,0.136463,0.755451,0.0958556,1.4148,0.000265293,0.00551997
75.139773243,2.67585,0.146563,0.0355037,0.109094,0,3.06262,0.101412,0.482829,0.0580954,1.46263,0.0587123,0.000148542
75.186213152,2.77074,0.129149,0.00106685,0.149254,0.117996,2.71627,0.200482,0.448105,0.0287123,1.40178,0.0384659,0.000102137
75.232653061,2.90502,0.251247,0.247123,0.252483,0.207693,1.72227,0.111675,0.843461,0.0294692,1.02402,0,0.182903
75.279092971,2.57268,0.330119,0.507523,0.31655,0.240074,1.66551,0.0131847,1.03031,0.26121,0.782398,0,0.180614
75.325532880,2.4046,0.334064,0.287258,0.236193,0.0285105,1.62604,0.395957,1.09159,0.426453,1.23312,0.259547,0.134891
75.371972789,2.39405,0.218056,0.157452,0.231892,0.0352604,1.77781,0.644745,0.8257,0.426444,1.54195,0.332125,0.000136145
75.418412698,2.3282,0.088548,0.12704,0.360882,0.0323496,2.40067,0.436578,0.30197,0.0925066,1.91483,0,0.0524069
75.464852608,1.88938,0.152158,0.00018712,0.366028,0.0324138,3.03437,0.0971158,0.248379,0.148281,1.92658,0.0654107,0.101163
75.511292517,2.01033,0.171444,0.0151923,0.368132,0.222117,2.76386,0.103113,0.19233,0.0740554,1.74598,0,0.0310975
75.557732426,2.37223,0.000987339,0.0572791,0.448625,0.50314,2.32112,0.203739,0.033227,0.00207249,1.54937,0.534817,0.204092
75.604172336,2.2351,0.000299228,0.445731,0.610868,0.354692,1.98383,0.390824,0.0310606,0.0337234,0.806959,0.352525,0.731496
75.650612245,2.08571,0.0138098,1.01025,0.646587,0.188363,1.61857,0.694529,0.229856,0.11815,0.0994392,0.0259026,1.09143
75.697052154,1.75721,0,1.11257,0.694052,0.0238616,0.541603,0.807808,1.45739,0.241489,0,0.002862,1.2303
75.743492063,2.18339,0.0633013,0.996126,0.778669,0.310664,0.0415128,0.390998,2.04631,0.353733,0,0.0300085,1.40838
75.789931973,2.10177,0.403566,0.723951,0.819332,0.415555,0,0.0395484,2.5575,0.43185,0.0608965,0.210895,1.46143
75.836371882,2.32467,0.110223,0.697378,0.600511,0.57119,0.0098762,0.0321354,2.61797,0.5097,0.0165492,0.516845,1.38654
